datestamp,Platform,Bookings_3m,Booking_Cost_3m,Customer_Count,Run_Rate,Age_STD,qtr,sdate,mean,deviation,naivemean,naivedeviation,lower limit,upper limit,z_score,actuals_outlier,actuals_adjusted,fdate,Forecast_3m
2019-10-31,8k_Chassis,4.0,554.1315,1.0,2.0,61.0,Q1FY20,2020-01-01,,,,,,,,False,4.0,,
2020-01-31,8k_Chassis,36.0,159008.73,2.0,3.0,31.0,Q2FY20,2020-04-01,,,,,,,,False,36.0,,
2020-04-30,8k_Chassis,29.0,86121.34,6.4351125,4.993788,118.32089,Q3FY20,2020-07-01,23.0,16.822603841260722,,,,,,False,29.0,,
2020-07-31,8k_Chassis,124.0,296642.38,11.693187,39.97804,209.16032,Q4FY20,2020-10-01,63.0,52.94336596779619,23.0,16.822603841260722,-27.467811523782167,73.46781152378216,6.003826812605417,True,73.46781152378216,,
2020-10-31,8k_Chassis,724.0,226444.56,6.018927,31.907349,79.15265,Q1FY21,2021-01-01,292.3333333333333,376.83993065137525,63.0,52.94336596779619,-95.83009790338858,221.83009790338858,12.485039209672951,True,221.83009790338858,,
2021-01-31,8k_Chassis,4135.0,442931.94,1.9742652,17.000446,192.01685,Q2FY21,2021-04-01,1661.0,2163.4479425213817,292.3333333333333,376.83993065137525,-838.1864586207926,1422.853125287459,10.197079327619399,True,1422.853125287459,2021-04-01,3924.0
2021-04-30,8k_Chassis,1586.0,115041.67,3.7643595,10.841877,425.7112,Q3FY21,2021-07-01,2148.3333333333335,1773.666917246114,1661.0,2163.4479425213817,-4829.343827564146,8151.343827564146,-0.03466688452535241,False,1586.0,2021-07-01,8242.0
2021-07-31,8k_Chassis,1102.0,172381.75,6.3987765,24.008904,445.82605,Q4FY21,2021-10-01,2274.3333333333335,1629.4552259369798,2148.3333333333335,1773.666917246114,-3172.6674184050084,7469.334085071676,-0.5899266221630407,False,1102.0,2021-10-01,9506.0
2021-10-31,8k_Chassis,3424.0,252413.61,1.2712244,6.0,399.81564,Q1FY22,2022-01-01,2037.3333333333333,1225.0295234537548,2274.3333333333335,1629.4552259369798,-2614.0323444776063,7162.699011144274,0.7055527813018476,False,3424.0,2022-01-01,3566.0
2022-01-31,8k_Chassis,2433.0,158047.42,1.8711274,4.0,481.84637,Q2FY22,2022-04-01,2319.6666666666665,1165.1413362048975,2037.3333333333333,1225.0295234537548,-1637.7552370279311,5712.421903694598,0.3229854130789879,False,2433.0,2022-04-01,6495.0
2022-04-30,8k_Chassis,9657.0,448956.25,1.0,2.0,531.6099,Q3FY22,2022-07-01,5171.333333333333,3916.174706691893,2319.6666666666665,1165.1413362048975,-1175.757341948026,5815.090675281359,6.297376211226461,True,5815.090675281359,2022-07-01,22388.0
