Platform,qtr,Forecast_3m
8k_Chassis,Q1FY22,3566
8k_Chassis,Q2FY21,3924
8k_Chassis,Q2FY22,6495
8k_Chassis,Q3FY21,8242
8k_Chassis,Q3FY22,22388
8k_Chassis,Q4FY21,9506
8k_Chassis,Q4FY22,24255
8k_Fabric Card,Q1FY22,3390
8k_Fabric Card,Q2FY21,1054
8k_Fabric Card,Q2FY22,4731
8k_Fabric Card,Q3FY21,3223
8k_Fabric Card,Q3FY22,5881
8k_Fabric Card,Q4FY21,3193
8k_Fabric Card,Q4FY22,8191
8k_Fixed Chassis,Q1FY22,535
8k_Fixed Chassis,Q2FY21,152
8k_Fixed Chassis,Q2FY22,1058
8k_Fixed Chassis,Q3FY21,86
8k_Fixed Chassis,Q3FY22,7813
8k_Fixed Chassis,Q4FY21,181
8k_Fixed Chassis,Q4FY22,6586
8k_Line Card,Q1FY22,1369
8k_Line Card,Q2FY21,533
8k_Line Card,Q2FY22,3433
8k_Line Card,Q3FY21,2279
8k_Line Card,Q3FY22,3696
8k_Line Card,Q4FY21,2008
8k_Line Card,Q4FY22,7287
8k_Modular Chassis,Q1FY22,390
8k_Modular Chassis,Q2FY21,305
8k_Modular Chassis,Q2FY22,977
8k_Modular Chassis,Q3FY21,902
8k_Modular Chassis,Q3FY22,982
8k_Modular Chassis,Q4FY21,580
8k_Modular Chassis,Q4FY22,2011
ACCESSORY,Q1FY22,526371
ACCESSORY,Q2FY21,306314
ACCESSORY,Q2FY22,511517
ACCESSORY,Q3FY21,660035
ACCESSORY,Q3FY22,542874
ACCESSORY,Q4FY21,3241185
ACCESSORY,Q4FY22,453238
ASR9000 Modular,Q1FY22,2231
ASR9000 Modular,Q2FY21,1171
ASR9000 Modular,Q2FY22,2036
ASR9000 Modular,Q3FY21,1083
ASR9000 Modular,Q3FY22,2207
ASR9000 Modular,Q4FY21,1784
ASR9000 Modular,Q4FY22,1283
ASSEMBLY,Q1FY22,4717
ASSEMBLY,Q2FY21,2541
ASSEMBLY,Q2FY22,2461
ASSEMBLY,Q3FY21,7665
ASSEMBLY,Q3FY22,7574
ASSEMBLY,Q4FY21,4684
ASSEMBLY,Q4FY22,2937
C9400 Line Card,Q1FY22,57637
C9400 Line Card,Q2FY21,30929
C9400 Line Card,Q2FY22,50307
C9400 Line Card,Q3FY21,31140
C9400 Line Card,Q3FY22,54670
C9400 Line Card,Q4FY21,38472
C9400 Line Card,Q4FY22,46142
C9400 SUP Card,Q1FY22,18872
C9400 SUP Card,Q2FY21,10872
C9400 SUP Card,Q2FY22,18255
C9400 SUP Card,Q3FY21,11379
C9400 SUP Card,Q3FY22,17423
C9400 SUP Card,Q4FY21,14564
C9400 SUP Card,Q4FY22,13469
C9400_10LCModular,Q1FY22,5149
C9400_10LCModular,Q2FY21,2718
